"","times","init_volumes","final_volumes","tolls","revs"
"1",0.25,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"2",0.5,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"3",0.75,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"4",1,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"5",1.25,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"6",1.5,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"7",1.75,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"8",2,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"9",2.25,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"10",2.5,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"11",2.75,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"12",3,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"13",3.25,267.244444444444,201.945321822369,1.68776531664121,340.836310029742
"14",3.5,267.244444444444,201.945321822369,1.68776531664121,340.836310029742
"15",3.75,272.444444444444,205.061364668205,1.7206055863979,352.829729602492
"16",4,271.288888888889,204.371593947849,1.71330774867419,350.151435519746
"17",4.25,273.022222222222,205.405675047229,1.72425450525976,354.171660606108
"18",4.5,276.488888888889,207.463487585218,1.74614801843089,362.26195774369
"19",4.75,284.577777777778,212.211385266152,1.79723288249686,381.393279640539
"20",5,305.955555555556,224.397737419904,1.93224288038551,433.590930504226
"21",5.25,317.511111111111,230.766461961794,2.00522125762261,462.73781507215
"22",5.5,341.2,243.343004650627,2.15482693095868,524.362059881575
"23",5.75,364.888888888889,255.275185126223,2.30443260429475,588.264459672245
"24",6,426.711111111111,283.380132028082,2.69486692251326,763.671744299917
"25",6.25,496.044444444444,309.678869768766,3.13273718593589,970.14251102321
"26",6.5,525.511111111111,319.18436309391,3.31883204789051,1059.31929342159
"27",6.75,610.444444444444,341.004082580967,3.85522312058323,1314.64682337942
"28",7,693.644444444445,354.347164911406,4.38066743669039,1552.27708661096
"29",7.25,802.844444444444,359.797430840567,5.07031310158103,1824.28562750612
"30",7.5,846.755555555556,358.129032019463,5.34763093508203,1915.14189037826
"31",7.75,977.333333333333,340.086536214261,6.17228659786132,2099.11156958836
"32",8,1070.35555555556,315.291470217156,6.75976253462002,2131.29546785919
"33",8.25,1135.64444444444,291.954533202914,7.17209036600966,2093.92429489746
"34",8.5,1158.17777777778,282.764029349219,7.31439820162202,2068.24870775533
"35",8.75,1171.46666666667,277.07068090646,7.39832333544469,2049.85848411781
"36",9,1188.22222222222,269.603087270735,7.50414198243849,2023.13984578335
"37",9.25,1174.35555555556,275.806164008529,7.41656792975397,2045.53515081412
"38",9.5,1152.4,285.176150310437,7.27790901300347,2075.48607463796
"39",9.75,1029.91111111111,327.292810344462,6.50433821429015,2128.8231335859
"40",10,954.222222222222,344.705851565571,6.02632984338711,2077.31116047977
"41",10.25,958.266666666667,343.941744927949,6.0518722754201,2081.49151048906
"42",10.5,823.644444444445,359.283127616064,5.20167418060782,1868.87376844851
"43",10.75,808.044444444444,359.715428507914,5.10315337133773,1835.68300171236
"44",11,753.155555555556,359.015143343215,4.75650607946148,1707.65771193074
"45",11.25,719.066666666667,356.838803143774,4.54121986661202,1620.48346201456
"46",11.5,747.377777777778,358.740185711456,4.72001689084293,1693.2597359822
"47",11.75,772.222222222222,359.650537442184,4.8769204019027,1753.98704360706
"48",12,810.355555555556,359.669016686733,5.11774904678515,1840.69576730668
"49",12.25,873.333333333333,356.043613601645,5.51548120272737,1963.751858171
"50",12.5,890.088888888889,354.312031958117,5.62129984972118,1991.69417200057
"51",12.75,897.6,353.431159134096,5.6687357949253,2003.50786282539
"52",13,865.822222222222,356.715193285614,5.46804525752326,1950.53482093189
"53",13.25,862.933333333333,356.956243729444,5.44980066321398,1945.34037381509
"54",13.5,874.488888888889,355.934543838725,5.52277904045109,1965.74783848503
"55",13.75,823.644444444445,359.283127616064,5.20167418060782,1868.87376844851
"56",14,785.511111111111,359.846529299352,4.96084553572538,1785.14304842096
"57",14.25,762.4,359.37534483401,4.81488878125116,1730.35231609954
"58",14.5,757.777777777778,359.207510353231,4.78569743035632,1719.05845926215
"59",14.75,818.444444444444,359.458276895663,5.16883391085112,1857.98013115441
"60",15,793.6,359.866548611417,5.01193039979135,1803.62609485355
"61",15.25,848.488888888889,358.017750660096,5.3585776916676,1918.46593190821
"62",15.5,923.6,349.881750370052,5.83293714370878,2040.83825763932
"63",15.75,989.466666666667,337.41587870207,6.24891389396028,2108.48277246418
"64",16,1069.2,315.660431461679,6.75246469689631,2131.48591965204
"65",16.25,1129.28888888889,294.44131338598,7.13195225852926,2099.94139000746
"66",16.5,1173.2,276.31312073001,7.40927009203025,2047.2785414604
"67",16.75,1188.8,269.339834230377,7.50779090130035,2022.14715679257
"68",17,1182.44444444444,272.214535032002,7.46765279381994,2032.80363305013
"69",17.25,1192.84444444444,267.48632996633,7.53333333333333,2015.06368574635
"70",17.5,1124.08888888889,296.441452848341,7.09911198877256,2104.47107188481
"71",17.75,1058.8,318.912084923906,6.68678415738291,2132.49627706713
"72",18,944.4,346.483341677139,5.96429822273557,2066.52997897244
"73",18.25,866.4,356.66583323454,5.47169417638511,1951.56636262498
"74",18.5,753.155555555556,359.015143343215,4.75650607946148,1707.65771193074
"75",18.75,679.2,352.600847206745,4.28944446514401,1512.46175245606
"76",19,610.444444444444,341.004082580967,3.85522312058323,1314.64682337942
"77",19.25,534.177777777778,321.790352644018,3.37356583081834,1085.58093836684
"78",19.5,468.311111111111,299.821752961888,2.95758908056684,886.749542676487
"79",19.75,434.8,286.732742108668,2.74595178657923,787.35428546406
"80",20,379.911111111111,262.50806133042,2.39930449470298,629.836771445842
"81",20.25,329.644444444445,237.288603139584,2.08184855372158,493.998935260756
"82",20.5,314.044444444444,228.871944071539,1.98332774445148,453.928076603631
"83",20.75,304.222222222222,223.429204172078,1.92129612379994,429.27366391952
"84",21,293.822222222222,217.545557059724,1.85561558428655,403.680925972322
"85",21.25,273.6,205.749602105484,1.72790342412161,355.515441989726
"86",21.5,270.133333333333,203.680289944416,1.70600991095048,347.480593310442
"87",21.75,269.555555555556,203.334062961545,1.70236099208863,346.147977148628
"88",22,270.711111111111,204.026133606517,1.70965882981234,348.815080832854
"89",22.25,267.822222222222,202.293082088317,1.69141423550306,342.161398787969
"90",22.5,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"91",22.75,267.244444444444,201.945321822369,1.68776531664121,340.836310029742
"92",23,267.244444444444,201.945321822369,1.68776531664121,340.836310029742
"93",23.25,267.244444444444,201.945321822369,1.68776531664121,340.836310029742
"94",23.5,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
"95",23.75,266.666666666667,201.597178235652,1.68411639777935,339.513113612708
