"","times","init_volumes","final_volumes","tolls","revs"
"1",0.25,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"2",0.5,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"3",0.75,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"4",1,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"5",1.25,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"6",1.5,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"7",1.75,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"8",2,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"9",2.25,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"10",2.5,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"11",2.75,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"12",3,978.933333333334,741.597506667458,1.66687628710633,1236.15129844117
"13",3.25,980.666666666667,742.647480582103,1.66982771610829,1240.09334637399
"14",3.5,982.4,743.696524349426,1.67277914511025,1244.0400362227
"15",3.75,988.177777777778,747.186619176513,1.68261724178345,1257.22908825628
"16",4,995.688888888889,751.708291671212,1.6954067674586,1274.45132485412
"17",4.25,1007.24444444444,758.630605492026,1.715082960805,1301.11442502455
"18",4.5,1019.37777777778,765.854542956987,1.73574296381871,1329.32663424618
"19",4.75,1066.75555555556,793.625852979204,1.81641535653892,1441.55418669772
"20",5,1104.31111111111,815.14594308616,1.8803629849147,1532.7702586826
"21",5.25,1167.86666666667,850.569816227471,1.98858204831986,1691.42786739267
"22",5.5,1256.84444444444,898.062345874402,2.14008873708708,1921.93311160781
"23",5.75,1376.44444444444,958.038200546493,2.34373733822225,2245.38990206407
"24",6,1485.64444444444,1008.9312109438,2.52967736534566,2552.27044751532
"25",6.25,1705.77777777778,1100.30282986241,2.90450884859444,3195.83930546886
"26",6.5,1938.04444444444,1180.4451935282,3.30000033485693,3895.4695339233
"27",6.75,2210.75555555556,1253.22537212465,3.7643584978318,4717.58957925584
"28",7,2553.37777777778,1312.02818734197,4.34775763055235,5704.38056301581
"29",7.25,2843.42222222222,1333.40215008051,4.84163008354681,6455.83996329579
"30",7.5,3206.26666666667,1323.47035089658,5.45946255462354,7225.43682287435
"31",7.75,3504.97777777778,1284.70430973522,5.96809215262779,7667.23370937787
"32",8,3838.93333333333,1208.65879553179,6.53673414033854,7900.68121277312
"33",8.25,4083.91111111111,1130.9205857101,6.95386943928207,7864.27409922443
"34",8.5,4248.57777777778,1068.22562907153,7.23425519446817,7727.81680597477
"35",8.75,4250.88888888889,1067.28596372755,7.23819043313744,7725.21905207465
"36",9,4424.22222222222,992.098316498316,7.53333333333334,7473.80731762065
"37",9.25,4265.91111111111,1061.13783260772,7.26376948448775,7707.86060733147
"38",9.5,4070.04444444444,1135.81694030938,6.9302580072664,7871.50444536792
"39",9.75,3878.8,1197.27377743277,6.6046170073836,7907.5347529269
"40",10,3696.22222222222,1245.38053483417,6.29373315251059,7838.09275957718
"41",10.25,3406.17777777778,1300.5837408072,5.79986069951613,7543.20452473738
"42",10.5,3161.2,1326.92076942817,5.38272540057261,7142.45013014836
"43",10.75,2946.26666666667,1334.72624156275,5.0167482043297,6695.98547563164
"44",11,2898.31111111111,1334.51628432059,4.93509200194217,6585.96064121215
"45",11.25,2834.75555555556,1333.14097064336,4.82687293853701,6434.90207445341
"46",11.5,2769.46666666667,1330.42599383559,4.71570244612989,6273.89311352528
"47",11.75,2918.53333333333,1334.69163425708,4.96952534029836,6632.7838979248
"48",12,3057.2,1332.48349364152,5.20563966045507,6936.42892140205
"49",12.25,3099.95555555556,1330.60193344228,5.27844157583672,7023.50456637046
"50",12.5,3216.08888888889,1322.63488171652,5.47618731896797,7242.99636688073
"51",12.75,3254.8,1319.05132417956,5.54210256667839,7310.31772931608
"52",13,3246.13333333333,1319.89391956432,5.52734542166859,7295.50961339206
"53",13.25,3257.11111111111,1318.82270478827,5.54603780534767,7314.2405793066
"54",13.5,3123.64444444444,1329.31580046247,5.31877777219683,7070.33533172985
"55",13.75,2954.93333333333,1334.68822361137,5.0315053493395,6715.49093680104
"56",14,2900.04444444444,1334.53627510087,4.93804343094413,6589.99808661849
"57",14.25,2770.04444444444,1330.45580776236,4.71668625579721,6275.34262241828
"58",14.5,2829.55555555556,1332.97310121321,4.81801865153113,6422.28926363456
"59",14.75,2858.44444444444,1333.7997757135,4.86720913489712,6491.88245247649
"60",15,3005.77777777778,1333.99680411191,5.11808060006362,6827.50316367203
"61",15.25,3213.77777777778,1322.83414979233,5.47225208029869,7238.88192809123
"62",15.5,3370.93333333333,1305.51703068355,5.73984830980964,7493.46972199666
"63",15.75,3688.71111111111,1247.13859695825,6.28094362683544,7833.20722234539
"64",16,3849.91111111111,1205.57288165665,6.55542652401762,7903.04444504839
"65",16.25,4045.77777777778,1144.24231817057,6.88893800123897,7882.61438827102
"66",16.5,4199.46666666667,1087.80259738172,7.150631372746,7778.47538019233
"67",16.75,4340.44444444445,1029.60040494012,7.39068093157199,7609.44807992974
"68",17,4378,1013.05783314079,7.45462855994777,7551.96985581013
"69",17.25,4279.2,1055.64086367518,7.28639710683611,7691.81853494077
"70",17.5,4062.53333333333,1138.44427678056,6.91746848159124,7875.15240267748
"71",17.75,3866.08888888889,1200.95721499963,6.58297319470257,7905.8691543272
"72",18,3517.11111111111,1282.54585116489,5.9887521556415,7680.84923087279
"73",18.25,3172.17777777778,1326.13821037099,5.40141778425168,7163.02651387357
"74",18.5,2867.11111111111,1333.99739508366,4.88196627990691,6512.53030028207
"75",18.75,2564.93333333333,1313.377885208,4.36743382389874,5736.09099941801
"76",19,2181.86666666667,1246.60594680341,3.71516801446582,4631.35054020691
"77",19.25,1947.86666666667,1183.46621849415,3.31672509920137,3925.23211093647
"78",19.5,1720.8,1105.99134016137,2.93008789994475,3240.65184325051
"79",19.75,1535.91111111111,1031.11733571048,2.61526880640247,2696.64900382444
"80",20,1367.2,953.560304037918,2.32799638354513,2219.88493929247
"81",20.25,1250.48888888889,894.75130686915,2.12926683074656,1905.16427948362
"82",20.5,1155.15555555556,843.585084111157,1.96693823563882,1659.27975695283
"83",20.75,1102.57777777778,814.162319680472,1.87741155591274,1528.51774735684
"84",21,1043.06666666667,779.827063392984,1.77607916017881,1385.03459583572
"85",21.25,1030.93333333333,772.692110021811,1.7554191571651,1356.39853252261
"86",21.5,1008.4,759.320563180654,1.71705058013964,1303.7918135213
"87",21.75,996.266666666667,752.055389184426,1.69639057712592,1275.77967568923
"88",22,989.333333333333,747.883397945501,1.68458486111809,1259.87305006054
"89",22.25,984.133333333333,744.744637969428,1.67573057411221,1247.9913597515
"90",22.5,981.822222222222,743.346946443354,1.67179533544293,1242.72395767975
"91",22.75,978.933333333334,741.597506667458,1.66687628710633,1236.15129844117
"92",23,980.088888888889,742.297592626924,1.66884390644097,1238.77881422125
"93",23.25,978.355555555556,741.247308663172,1.66589247743901,1234.83831542389
"94",23.5,977.777777777778,740.897007309183,1.6649086677717,1233.52584939517
"95",23.75,978.355555555556,741.247308663172,1.66589247743901,1234.83831542389
