"","times","init_volumes","final_volumes","tolls","revs"
"1",0.25,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"2",0.5,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"3",0.75,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"4",1,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"5",1.25,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"6",1.5,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"7",1.75,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"8",2,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"9",2.25,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"10",2.5,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"11",2.75,258.355555555556,195.782279259367,1.66418129766157,325.817207556994
"12",3,257.777777777778,195.43165433566,1.66045957791796,324.506362269999
"13",3.25,258.355555555556,195.782279259367,1.66418129766157,325.817207556994
"14",3.5,260.666666666667,197.180869268807,1.67906817663601,331.08012263068
"15",3.75,263.555555555556,198.920309988487,1.69767677535406,337.702390413683
"16",4,260.666666666667,197.180869268807,1.67906817663601,331.08012263068
"17",4.25,264.711111111111,199.613349496587,1.70512021484128,340.364757378808
"18",4.5,269.333333333333,202.369868787441,1.73489397279015,351.090265633665
"19",4.75,280.311111111111,208.816318673037,1.80560664791873,377.04013318995
"20",5,284.355555555556,211.155748388601,1.83165868612399,386.765260660992
"21",5.25,313.244444444444,227.30883047495,2.01774467330445,458.651181885896
"22",5.5,341.555555555556,242.190556728901,2.2001089407413,532.84560922237
"23",5.75,354.844444444444,248.852134857224,2.28570849484432,568.803438603301
"24",6,387.2,264.206807022878,2.49412480048643,658.964749853092
"25",6.25,449.022222222222,290.135757340321,2.89234881305262,839.1738133674
"26",6.5,506.222222222222,310.139388360563,3.26079906766993,1011.30222841385
"27",6.75,587.688888888889,332.014220623299,3.78556155151884,1256.86026814905
"28",7,652.4,343.850731653389,4.20239416280307,1444.99630757577
"29",7.25,765.066666666667,352.756277036535,4.92812951280687,1738.42861969163
"30",7.5,823.422222222222,351.524695133545,5.3040232069114,1864.49514079078
"31",7.75,922.222222222222,340.347177278089,5.94043728306858,2021.81106108991
"32",8,1025.64444444444,316.399645135196,6.60662511717464,2090.33384261533
"33",8.25,1047.02222222222,309.887286310957,6.74432874768818,2089.98173361007
"34",8.5,1097.86666666667,292.248105928173,7.07184008512579,2066.73187030494
"35",8.75,1150.44444444444,270.823346586895,7.41051658179423,2006.94090061919
"36",9,1169.51111111111,262.254006734007,7.53333333333333,1975.64685072952
"37",9.25,1129.06666666667,279.925090043093,7.27281295128069,2035.84282025382
"38",9.5,1086.31111111111,296.522869166955,6.9974056902536,2074.89081199918
"39",9.75,1031.42222222222,314.6923289084,6.64384231461073,2090.76621088502
"40",10,993.288888888889,325.238106145696,6.39820881153252,2080.94131658754
"41",10.25,914.133333333333,341.691970123059,5.88833320665805,2011.99617412402
"42",10.5,821.688888888889,351.61874914942,5.29285804768058,1861.06812615089
"43",10.75,793.955555555556,352.645067912025,5.11421549998733,1803.50287230977
"44",11,732.133333333333,351.690796879642,4.71599148742115,1658.57080428875
"45",11.25,773.733333333333,352.825543540597,4.98395530896101,1758.46674086621
"46",11.5,740.222222222222,352.070175290438,4.76809556383167,1678.70424095978
"47",11.75,759.866666666667,352.672492531916,4.89463403511439,1726.20278519534
"48",12,787.022222222222,352.760898928737,5.06955486306402,1788.34073066301
"49",12.25,842.488888888889,350.257865646918,5.42683995845051,1900.79338105428
"50",12.5,813.022222222222,352.036238476068,5.23703225152644,1843.62513460522
"51",12.75,856.355555555556,349.069112630703,5.51616123229713,1925.52150648584
"52",13,860.4,348.679972914522,5.54221327050239,1932.45877304528
